127.0.0.1 - - [30/Apr/2025:08:11:01 +0530] "GET / HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:04 +0530] "GET /Job_Portal/editUserProfile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:04 +0530] "GET /Job_Portal/userLogin.jsp?error=object%20is%20getting%20null HTTP/1.1" 200 3487
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:05 +0530] "GET /favicon.ico HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:12 +0530] "GET /Job_Portal/hom.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:17 +0530] "GET /Job_Portal/home.jsp HTTP/1.1" 200 3590
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:24 +0530] "GET /Job_Portal/companyRegistration.jsp HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:26 +0530] "GET /Job_Portal/userRegistration.jsp HTTP/1.1" 200 6754
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:29 +0530] "GET /Job_Portal/companyRegistration.jsp HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:32 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:35 +0530] "GET /Job_Portal/companyLogin.jsp HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:38 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:53 +0530] "POST /Job_Portal/UserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:11:53 +0530] "GET /Job_Portal/userDashboard.jsp HTTP/1.1" 200 3681
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:04 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:11 +0530] "GET /Job_Portal/userProfile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:11 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:18 +0530] "POST /Job_Portal/UserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:18 +0530] "GET /Job_Portal/userDashboard.jsp HTTP/1.1" 200 3681
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:21 +0530] "GET /Job_Portal/userProfile.jsp HTTP/1.1" 200 4228
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:40 +0530] "GET /Job_Portal/editUserProfile.jsp HTTP/1.1" 200 15511
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:52 +0530] "POST /Job_Portal/UserController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:52 +0530] "GET /Job_Portal/userProfile.jsp HTTP/1.1" 200 4228
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:12:55 +0530] "GET /Job_Portal/editUserProfile.jsp HTTP/1.1" 200 15511
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:13:18 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:13:21 +0530] "GET /Job_Portal/userLogin.jsp HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:13:29 +0530] "GET /Job_Portal/companyLoginb.jsp HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [30/Apr/2025:08:13:33 +0530] "GET /Job_Portal/companyLogin.jsp HTTP/1.1" 200 3411
